StudyID	variable	value	se
ACV002	Chao1	191	0
ACV003	Chao1	407	0
ACV004	Chao1	210	0
ACV005	Chao1	345	0
ACV006	Chao1	78	0
ACV007	Chao1	172	0
ACV009	Chao1	307	0
ACV011	Chao1	397	0
ACV012	Chao1	226	0
ACV014	Chao1	246	0
ACV016	Chao1	86	0
ACV017	Chao1	200	0
ACV018	Chao1	139	0
ACV019	Chao1	302	0
ACV020	Chao1	344	0
ACV021	Chao1	232	0
ACV022	Chao1	261	0
ACV023	Chao1	356	0
ACV025	Chao1	432	0
ACV026	Chao1	442	0
ACV027	Chao1	161	0
ACV028	Chao1	246	0
ACV029	Chao1	352	0.083214878
ACV030	Chao1	273	0.499083409
ACV031	Chao1	106	0
ACV032	Chao1	132	0.24905123
ACV033	Chao1	281	0
ACV034	Chao1	101	0
ACV035	Chao1	331	0
ACV036	Chao1	317	0
ACV037	Chao1	315	0
ACV038	Chao1	346	0.249638467
ACV039	Chao1	294	0
ACV040	Chao1	452	0
ACV041	Chao1	174	0
ACV042	Chao1	181	0
ACV043	Chao1	307	0
ACV044	Chao1	179	0
ACV045	Chao1	77	0
ACV046	Chao1	273	0
ACV047	Chao1	185	0
ACV048	Chao1	202	0
ACV049	Chao1	183	0
ACV050	Chao1	296	0.083192448
ACV051	Chao1	266	0
ACV052	Chao1	338	0.124814952
ACV053	Chao1	213	0
ACV054	Chao1	133	0
ACV055	Chao1	326	0
ACV056	Chao1	309	0
ACV057	Chao1	422	0
ACV058	Chao1	291	0.099828031
ACV059	Chao1	87	0
ACV060	Chao1	190	0
ACV061	Chao1	107	0
ACV062	Chao1	253	0
ACV063	Chao1	276	0
ACV064	Chao1	199	0
ACV065	Chao1	282	0
ACV067	Chao1	374	0
ACV068	Chao1	331	0
ACV069	Chao1	354	0
ACV070	Chao1	325	0
ACV071	Chao1	298	0
ACV072	Chao1	260	0
ACV073	Chao1	148	0
ACV075	Chao1	50	0
ACV076	Chao1	390	0
ACV077	Chao1	65	0
ACV078	Chao1	196	0
ACV079	Chao1	281	0
ACV080	Chao1	252	0
ACV081	Chao1	427	0
ACV082	Chao1	123	0
ACV083	Chao1	247	0
ACV084	Chao1	238	2.341621933
ACV086	Chao1	289	0
ACV087	Chao1	109	0
ACV088	Chao1	267	0
ACV089	Chao1	211	0
ACV090	Chao1	80	0
ACV092	Chao1	230	0
ACV093	Chao1	113	0
ACV094	Chao1	108	0
ACV095	Chao1	199	0
ACV096	Chao1	321	0
ACV097	Chao1	235	0
ACV098	Chao1	109	0
ACV099	Chao1	370	0
ACV100	Chao1	260	0
ACV101	Chao1	443	0
ACV102	Chao1	148	0
ACV103	Chao1	325	0
ACV104	Chao1	135	0
ACV105	Chao1	268	0
ACV106	Chao1	444	0
ACV107	Chao1	233	0
ACV108	Chao1	300	0
ACV109	Chao1	268	0
ACV110	Chao1	132	0
ACV111	Chao1	301	0.083194791
ACV112	Chao1	446	0
ACV114	Chao1	187	0
ACV116	Chao1	274	4.655759325
ACV118	Chao1	327	0
ACV002	Shannon	4.246858049	NA
ACV003	Shannon	5.2263826	NA
ACV004	Shannon	4.218963881	NA
ACV005	Shannon	4.850650304	NA
ACV006	Shannon	2.448372503	NA
ACV007	Shannon	3.466789632	NA
ACV009	Shannon	4.934885388	NA
ACV011	Shannon	5.21478125	NA
ACV012	Shannon	4.346944717	NA
ACV014	Shannon	3.945344638	NA
ACV016	Shannon	3.11575136	NA
ACV017	Shannon	4.114411918	NA
ACV018	Shannon	3.608683896	NA
ACV019	Shannon	4.582329524	NA
ACV020	Shannon	4.902081555	NA
ACV021	Shannon	3.918716694	NA
ACV022	Shannon	4.46611313	NA
ACV023	Shannon	4.201712266	NA
ACV025	Shannon	5.056362664	NA
ACV026	Shannon	5.154979191	NA
ACV027	Shannon	3.795071344	NA
ACV028	Shannon	4.432021745	NA
ACV029	Shannon	4.944772984	NA
ACV030	Shannon	4.664686283	NA
ACV031	Shannon	3.465321167	NA
ACV032	Shannon	3.959424498	NA
ACV033	Shannon	4.55699873	NA
ACV034	Shannon	3.657677431	NA
ACV035	Shannon	4.746771434	NA
ACV036	Shannon	4.577958195	NA
ACV037	Shannon	4.703764154	NA
ACV038	Shannon	4.981492298	NA
ACV039	Shannon	4.278713261	NA
ACV040	Shannon	5.030007265	NA
ACV041	Shannon	2.073338012	NA
ACV042	Shannon	3.711637791	NA
ACV043	Shannon	4.738104778	NA
ACV044	Shannon	4.215085346	NA
ACV045	Shannon	3.054197974	NA
ACV046	Shannon	4.554721628	NA
ACV047	Shannon	4.030468514	NA
ACV048	Shannon	3.8817852	NA
ACV049	Shannon	4.243021583	NA
ACV050	Shannon	4.943085005	NA
ACV051	Shannon	4.510746906	NA
ACV052	Shannon	4.88890322	NA
ACV053	Shannon	3.202234607	NA
ACV054	Shannon	3.863980584	NA
ACV055	Shannon	4.383417523	NA
ACV056	Shannon	4.25403477	NA
ACV057	Shannon	5.264070014	NA
ACV058	Shannon	4.992154652	NA
ACV059	Shannon	3.387257341	NA
ACV060	Shannon	4.170523967	NA
ACV061	Shannon	2.674709883	NA
ACV062	Shannon	4.463705957	NA
ACV063	Shannon	4.544946083	NA
ACV064	Shannon	4.072329818	NA
ACV065	Shannon	4.810203767	NA
ACV067	Shannon	5.179028049	NA
ACV068	Shannon	4.862232685	NA
ACV069	Shannon	5.019781372	NA
ACV070	Shannon	4.779771471	NA
ACV071	Shannon	4.491115654	NA
ACV072	Shannon	4.536795795	NA
ACV073	Shannon	3.775929632	NA
ACV075	Shannon	2.449921627	NA
ACV076	Shannon	4.992723368	NA
ACV077	Shannon	2.755723373	NA
ACV078	Shannon	4.216403384	NA
ACV079	Shannon	4.430435408	NA
ACV080	Shannon	4.2854038	NA
ACV081	Shannon	4.84030864	NA
ACV082	Shannon	4.002638594	NA
ACV083	Shannon	4.137613311	NA
